K,Metric,Accuracy,Precision,Recall,F1-Score,AUC,Time (seconds)
3,euclidean,0.9873015873015873,0.9843098365049584,0.9881298931124765,0.9859957168650495,0.9982160459501086,3.946596145629883
3,manhattan,0.9974603174603175,0.9967948717948718,0.9976978968812856,0.9972323473737438,0.9993765586034913,19.040990352630615
3,minkowski,0.9873015873015873,0.9843098365049584,0.9881298931124765,0.9859957168650495,0.9982160459501086,4.566906213760376
5,euclidean,0.9841269841269841,0.9810566307040007,0.985891288550302,0.983030765203188,0.9987357978546709,4.152724266052246
5,manhattan,0.9949206349206349,0.9936708860759493,0.994900516276843,0.9942350871371086,0.9993734676093796,18.93291401863098
5,minkowski,0.9841269841269841,0.9810566307040007,0.985891288550302,0.983030765203188,0.9987357978546709,4.199286699295044
7,euclidean,0.9784126984126984,0.9745254026497281,0.9803600258979566,0.9767241856266934,0.9990313261251246,4.126067638397217
7,manhattan,0.9949206349206349,0.9936708860759493,0.9953398174870276,0.9944560881389208,0.9996822578126963,19.05373764038086
7,minkowski,0.9784126984126984,0.9745254026497281,0.9803600258979566,0.9767241856266934,0.9990313261251246,4.19366455078125
9,euclidean,0.9777777777777777,0.9738482106129165,0.9792972832912634,0.975808799024259,0.999013847975469,4.229490041732788
9,manhattan,0.993015873015873,0.9913793103448276,0.9936611557648218,0.99242676167613,0.9996780426048593,19.095255136489868
9,minkowski,0.9777777777777777,0.9738482106129165,0.9792972832912634,0.975808799024259,0.999013847975469,4.0094993114471436
11,euclidean,0.9765079365079365,0.9725238212080317,0.978050400498246,0.9744201348009827,0.998994083445276,4.150241136550903
11,manhattan,0.993015873015873,0.9913793103448276,0.9934135170219577,0.9923049766567131,0.9996713211024472,18.75069570541382
11,minkowski,0.9765079365079365,0.9725238212080317,0.978050400498246,0.9744201348009827,0.998994083445276,4.012417316436768
13,euclidean,0.9726984126984127,0.9686419901937143,0.9746930770538345,0.970487279731943,0.9989695077304699,4.039434909820557
13,manhattan,0.9917460317460317,0.9898753894080997,0.9919189954860761,0.9907686100115756,0.9999770796870419,19.034666299819946
13,minkowski,0.9726984126984127,0.9686419901937143,0.9746930770538345,0.970487279731943,0.9989695077304699,4.156055450439453
15,euclidean,0.9726984126984127,0.9691197183098591,0.974884739521155,0.9707502127318985,0.9992889254331102,3.9769320487976074
15,manhattan,0.9917460317460317,0.9898753894080997,0.9923582966962607,0.9909903920170036,0.9999856839999361,18.776058197021484
15,minkowski,0.9726984126984127,0.9691197183098591,0.974884739521155,0.9707502127318985,0.9992889254331102,4.473329067230225
17,euclidean,0.9688888888888889,0.9654118531413198,0.971335753609423,0.9667427031852323,0.9992622370350976,4.2457802295684814
17,manhattan,0.9923809523809524,0.990625,0.992790075625449,0.9915978308251105,0.9999820238134516,19.045356035232544
17,minkowski,0.9688888888888889,0.9654118531413198,0.971335753609423,0.9667427031852323,0.9992622370350976,4.053351879119873
19,euclidean,0.9682539682539683,0.9645377488665484,0.9705206497455938,0.965856282271945,0.9992279049981859,4.001388788223267
19,manhattan,0.9898412698412699,0.9873760488176964,0.9901843574883269,0.9886355613781808,0.9999839015870704,18.81131863594055
19,minkowski,0.9682539682539683,0.9645377488665484,0.9705206497455938,0.965856282271945,0.9992279049981859,3.6752684116363525
