K,Metric,Accuracy,Precision,Recall,F1-Score,AUC,Time (seconds)
3,euclidean,0.9898412698412699,0.9875190127398841,0.990927273716919,0.9890465622174152,0.998238115920972,5.735082149505615
3,manhattan,0.9968253968253968,0.9959268162393162,0.9972661179520973,0.9965811148722636,0.9993762204512633,23.375747203826904
3,minkowski,0.9898412698412699,0.9875190127398841,0.990927273716919,0.9890465622174152,0.998238115920972,4.671830415725708
5,euclidean,0.9879365079365079,0.9853252388790321,0.9892486119947135,0.9870340991501576,0.998649398427063,5.400585889816284
5,manhattan,0.9961904761904762,0.9952229299363058,0.996203375345404,0.995682915371926,0.9996871445889599,23.433342695236206
5,minkowski,0.9879365079365079,0.9853252388790321,0.9892486119947135,0.9870340991501576,0.998649398427063,4.454125881195068
7,euclidean,0.9834920634920635,0.9803601510918585,0.9848845222191522,0.9821183168979886,0.999049110919113,5.132282495498657
7,manhattan,0.9949206349206349,0.9936708860759493,0.995148155019707,0.9943576642384309,0.9996850845856979,23.313154697418213
7,minkowski,0.9834920634920635,0.9803601510918585,0.9848845222191522,0.9821183168979886,0.999049110919113,4.958653450012207
9,euclidean,0.9815873015873016,0.9782955865272938,0.9832058604969467,0.9801263623158702,0.9990235185980559,5.116775989532471
9,manhattan,0.9949206349206349,0.9936708860759493,0.995148155019707,0.9943576642384309,0.9996849108298715,23.46327304840088
9,minkowski,0.9815873015873016,0.9782955865272938,0.9832058604969467,0.9801263623158702,0.9990235185980559,4.777829885482788
11,euclidean,0.9803174603174604,0.9769365250134481,0.9819030014283855,0.9787291059200327,0.9990177026160423,4.730895519256592
11,manhattan,0.9936507936507937,0.9921383647798743,0.9940929346940102,0.9930363168419343,0.9996816911058413,23.37239909172058
11,minkowski,0.9803174603174604,0.9769365250134481,0.9819030014283855,0.9787291059200327,0.9990177026160423,5.277836561203003
13,euclidean,0.9777777777777777,0.9742690058479532,0.9791615970994865,0.9758353426086377,0.9990006341588026,5.228876829147339
13,manhattan,0.993015873015873,0.9913793103448276,0.9932218545546373,0.99220613645369,0.9999910243071062,23.20988631248474
13,minkowski,0.9777777777777777,0.9742690058479532,0.9791615970994865,0.9758353426086377,0.9990006341588026,5.000331163406372
15,euclidean,0.979047619047619,0.975593395252838,0.9804084798925039,0.9772256936079733,0.9989840749934196,4.699825286865234
15,manhattan,0.9917460317460317,0.989750874125874,0.9923582966962607,0.9909454789413947,0.9999954263679818,23.228104829788208
15,minkowski,0.979047619047619,0.975593395252838,0.9804084798925039,0.9772256936079733,0.9989840749934196,4.52944803237915
17,euclidean,0.9777777777777777,0.9742690058479532,0.979353259566807,0.975945842775111,0.9989780720996954,4.958852767944336
17,manhattan,0.9911111111111112,0.9890012635339738,0.9917348552997519,0.9902387816164868,0.9999944654110223,23.204455852508545
17,minkowski,0.9777777777777777,0.9742690058479532,0.979353259566807,0.975945842775111,0.9989780720996954,4.568122148513794
19,euclidean,0.9765079365079365,0.9729600163198694,0.9781063767737894,0.9745582846595103,0.9989721497857283,4.834612131118774
19,manhattan,0.9904761904761905,0.9883900928792569,0.9913030763705637,0.9896795852288454,0.9999957466869682,23.090542793273926
19,minkowski,0.9765079365079365,0.9729600163198694,0.9781063767737894,0.9745582846595103,0.9989721497857283,4.99475884437561
